A,30-Mar-2018,66.9,66.9,66.9,66.9,0
AA,30-Mar-2018,44.96,44.96,44.96,44.96,0
AAC,30-Mar-2018,11.48,11.48,11.48,11.48,0
AAN,30-Mar-2018,46.6,46.6,46.6,46.6,0
AAP,30-Mar-2018,118.55,118.55,118.55,118.55,0
AAT,30-Mar-2018,33.41,33.41,33.41,33.41,0
AAV,30-Mar-2018,2.95,2.95,2.95,2.95,0
AB,30-Mar-2018,26.85,26.85,26.85,26.85,0
ABB,30-Mar-2018,23.74,23.74,23.74,23.74,0
ABBV,30-Mar-2018,94.65,94.65,94.65,94.65,0
ABC,30-Mar-2018,86.21,86.21,86.21,86.21,0
ABEV,30-Mar-2018,7.27,7.27,7.27,7.27,0
ABG,30-Mar-2018,67.5,67.5,67.5,67.5,0
ABM,30-Mar-2018,33.48,33.48,33.48,33.48,0
ABR,30-Mar-2018,8.82,8.82,8.82,8.82,0
ABR-A,30-Mar-2018,25.52,25.52,25.52,25.52,0
ABR-B,30-Mar-2018,25.25,25.25,25.25,25.25,0
ABR-C,30-Mar-2018,25.86,25.86,25.86,25.86,0
ABT,30-Mar-2018,59.92,59.92,59.92,59.92,0
ABX,30-Mar-2018,12.45,12.45,12.45,12.45,0
AC,30-Mar-2018,37.45,37.45,37.45,37.45,0
ACC,30-Mar-2018,38.62,38.62,38.62,38.62,0
ACCO,30-Mar-2018,12.55,12.55,12.55,12.55,0
ACH,30-Mar-2018,13.92,13.92,13.92,13.92,0
ACM,30-Mar-2018,35.63,35.63,35.63,35.63,0
ACN,30-Mar-2018,153.5,153.5,153.5,153.5,0
ACP,30-Mar-2018,13.77,13.77,13.77,13.77,0
ACRE,30-Mar-2018,12.35,12.35,12.35,12.35,0
ACV,30-Mar-2018,22.67,22.67,22.67,22.67,0
ADC,30-Mar-2018,48.04,48.04,48.04,48.04,0
ADM,30-Mar-2018,43.37,43.37,43.37,43.37,0
ADNT,30-Mar-2018,59.76,59.76,59.76,59.76,0
ADS,30-Mar-2018,212.86,212.86,212.86,212.86,0
ADSW,30-Mar-2018,22.28,22.28,22.28,22.28,0
ADT,30-Mar-2018,7.93,7.93,7.93,7.93,0
ADX,30-Mar-2018,14.77,14.77,14.77,14.77,0
AEB,30-Mar-2018,24.95,24.95,24.95,24.95,0
AED,30-Mar-2018,26.22,26.22,26.22,26.22,0
AEE,30-Mar-2018,56.63,56.63,56.63,56.63,0
AEG,30-Mar-2018,6.77,6.77,6.77,6.77,0
AEH,30-Mar-2018,25.84,25.84,25.84,25.84,0
AEK,30-Mar-2018,26.51,26.51,26.51,26.51,0
AEL,30-Mar-2018,29.36,29.36,29.36,29.36,0
AEM,30-Mar-2018,42.07,42.07,42.07,42.07,0
AEO,30-Mar-2018,19.93,19.93,19.93,19.93,0
AEP,30-Mar-2018,68.59,68.59,68.59,68.59,0
AER,30-Mar-2018,50.72,50.72,50.72,50.72,0
AES,30-Mar-2018,11.37,11.37,11.37,11.37,0
